filename,class_number
000000.png,57
000001.png,73
000002.png,77
000003.png,50
000004.png,24
000005.png,80
000006.png,79
000007.png,79
000008.png,79
000009.png,62
000010.png,94
000011.png,79
000012.png,24
000013.png,18
000014.png,95
000015.png,73
000016.png,77
000017.png,45
000018.png,77
000019.png,101
000020.png,28
000021.png,79
000022.png,80
000023.png,77
000024.png,46
000025.png,72
000026.png,79
000027.png,18
000028.png,19
000029.png,65
000030.png,57
000031.png,94
000032.png,18
000033.png,62
000034.png,17
000035.png,62
000036.png,44
000037.png,16
000038.png,72
000039.png,29
000040.png,9
000041.png,72
000042.png,79
000043.png,77
000044.png,58
000045.png,79
000046.png,94
000047.png,79
000048.png,57
000049.png,75
000050.png,80
000051.png,44
000052.png,76
000053.png,65
000054.png,99
000055.png,79
000056.png,36
000057.png,87
000058.png,79
000059.png,79
000060.png,79
000061.png,24
000062.png,79
000063.png,57
000064.png,99
000065.png,75
000066.png,66
000067.png,18
000068.png,79
000069.png,79
000070.png,57
000071.png,105
000072.png,75
000073.png,67
000074.png,79
000075.png,80
000076.png,71
000077.png,25
000078.png,24
000079.png,24
000080.png,28
000081.png,71
000082.png,104
000083.png,79
000084.png,80
000085.png,24
000086.png,100
000087.png,40
000088.png,17
000089.png,94
000090.png,72
000091.png,79
000092.png,71
000093.png,79
000094.png,94
000095.png,57
000096.png,79
000097.png,42
000098.png,24
000099.png,24
000100.png,0
000101.png,40
000102.png,42
000103.png,20
000104.png,79
000105.png,44
000106.png,79
000107.png,24
000108.png,4
000109.png,79
000110.png,72
000111.png,84
000112.png,79
000113.png,24
000114.png,40
000115.png,96
000116.png,79
000117.png,79
000118.png,18
000119.png,79
000120.png,18
000121.png,24
000122.png,50
000123.png,57
000124.png,79
000125.png,9
000126.png,99
000127.png,73
000128.png,24
000129.png,24
000130.png,40
000131.png,24
000132.png,75
000133.png,71
000134.png,72
000135.png,28
000136.png,72
000137.png,59
000138.png,17
000139.png,101
000140.png,79
000141.png,80
000142.png,17
000143.png,79
000144.png,54
000145.png,73
000146.png,58
000147.png,62
000148.png,77
000149.png,102
000150.png,79
000151.png,85
000152.png,79
000153.png,84
000154.png,41
000155.png,78
000156.png,74
000157.png,72
000158.png,94
000159.png,79
000160.png,66
000161.png,19
000162.png,24
000163.png,79
000164.png,79
000165.png,79
000166.png,77
000167.png,79
000168.png,79
000169.png,45
000170.png,77
000171.png,79
000172.png,36
000173.png,76
000174.png,71
000175.png,59
000176.png,79
000177.png,79
000178.png,2
000179.png,77
000180.png,79
000181.png,71
000182.png,48
000183.png,79
000184.png,24
000185.png,79
000186.png,77
000187.png,72
000188.png,62
000189.png,24
000190.png,72
000191.png,79
000192.png,79
000193.png,79
000194.png,55
000195.png,31
000196.png,24
000197.png,79
000198.png,24
000199.png,94
000200.png,72
000201.png,24
000202.png,42
000203.png,1
000204.png,67
000205.png,72
000206.png,19
000207.png,74
000208.png,79
000209.png,75
000210.png,36
000211.png,24
000212.png,75
000213.png,70
000214.png,20
000215.png,51
000216.png,100
000217.png,44
000218.png,40
000219.png,65
000220.png,24
000221.png,24
000222.png,27
000223.png,72
000224.png,50
000225.png,77
000226.png,57
000227.png,0
000228.png,72
000229.png,59
000230.png,57
000231.png,73
000232.png,24
000233.png,79
000234.png,79
000235.png,19
000236.png,45
000237.png,79
000238.png,36
000239.png,79
000240.png,79
000241.png,95
000242.png,28
000243.png,50
000244.png,24
000245.png,44
000246.png,79
000247.png,24
000248.png,74
000249.png,75
000250.png,37
000251.png,79
000252.png,79
000253.png,25
000254.png,79
000255.png,74
000256.png,19
000257.png,25
000258.png,79
000259.png,72
000260.png,67
000261.png,29
000262.png,40
000263.png,79
000264.png,38
000265.png,19
000266.png,79
000267.png,72
000268.png,50
000269.png,79
000270.png,18
000271.png,24
000272.png,27
000273.png,73
000274.png,24
000275.png,72
000276.png,79
000277.png,80
000278.png,27
000279.png,94
000280.png,72
000281.png,74
000282.png,72
000283.png,77
000284.png,51
000285.png,79
000286.png,24
000287.png,79
000288.png,79
000289.png,79
000290.png,25
000291.png,79
000292.png,79
000293.png,79
000294.png,48
000295.png,79
000296.png,24
000297.png,71
000298.png,79
000299.png,24
000300.png,65
000301.png,63
000302.png,77
000303.png,28
000304.png,72
000305.png,77
000306.png,57
000307.png,67
000308.png,79
000309.png,67
000310.png,80
000311.png,50
000312.png,19
000313.png,79
000314.png,71
000315.png,79
000316.png,97
000317.png,79
000318.png,24
000319.png,50
000320.png,93
000321.png,93
000322.png,74
000323.png,77
000324.png,71
000325.png,79
000326.png,79
000327.png,79
000328.png,84
000329.png,79
000330.png,79
000331.png,80
000332.png,71
000333.png,84
000334.png,24
000335.png,24
000336.png,40
000337.png,23
000338.png,77
000339.png,18
000340.png,80
000341.png,74
000342.png,101
000343.png,77
000344.png,24
000345.png,77
000346.png,24
000347.png,79
000348.png,18
000349.png,37
000350.png,62
000351.png,103
000352.png,79
000353.png,27
000354.png,24
000355.png,79
000356.png,24
000357.png,18
000358.png,19
000359.png,79
000360.png,73
000361.png,65
000362.png,79
000363.png,72
000364.png,9
000365.png,24
000366.png,79
000367.png,9
000368.png,95
000369.png,79
000370.png,25
000371.png,62
000372.png,79
000373.png,24
000374.png,72
000375.png,50
000376.png,79
000377.png,79
000378.png,24
000379.png,25
000380.png,24
000381.png,77
000382.png,79
000383.png,57
000384.png,5
000385.png,44
000386.png,79
000387.png,72
000388.png,18
000389.png,37
000390.png,51
000391.png,77
000392.png,84
000393.png,72
000394.png,79
000395.png,14
000396.png,24
000397.png,42
000398.png,40
000399.png,79
000400.png,79
000401.png,24
000402.png,98
000403.png,31
000404.png,51
000405.png,79
000406.png,29
000407.png,0
000408.png,71
000409.png,57
000410.png,79
000411.png,24
000412.png,79
000413.png,19
000414.png,50
000415.png,9
000416.png,79
000417.png,79
000418.png,50
000419.png,51
000420.png,77
000421.png,31
000422.png,77
000423.png,57
000424.png,72
000425.png,31
000426.png,24
000427.png,79
000428.png,50
000429.png,77
000430.png,50
000431.png,18
000432.png,79
000433.png,9
000434.png,18
000435.png,84
000436.png,44
000437.png,77
000438.png,79
000439.png,57
000440.png,95
000441.png,50
000442.png,79
000443.png,79
000444.png,24
000445.png,62
000446.png,101
000447.png,62
000448.png,75
000449.png,79
000450.png,72
000451.png,26
000452.png,79
000453.png,71
000454.png,79
000455.png,80
000456.png,24
000457.png,79
000458.png,79
000459.png,24
000460.png,77
000461.png,77
000462.png,84
000463.png,73
000464.png,65
000465.png,36
000466.png,17
000467.png,17
000468.png,72
000469.png,79
000470.png,79
000471.png,79
000472.png,73
000473.png,79
000474.png,79
000475.png,77
000476.png,40
000477.png,77
000478.png,79
000479.png,44
000480.png,79
000481.png,80
000482.png,29
000483.png,79
000484.png,62
000485.png,79
000486.png,74
000487.png,79
000488.png,57
000489.png,79
000490.png,57
000491.png,24
000492.png,57
000493.png,50
000494.png,79
000495.png,72
000496.png,26
000497.png,24
000498.png,79
000499.png,40
000500.png,27
000501.png,44
000502.png,72
000503.png,24
000504.png,72
000505.png,79
000506.png,84
000507.png,44
000508.png,62
000509.png,50
000510.png,79
000511.png,77
000512.png,24
000513.png,79
000514.png,104
000515.png,9
000516.png,28
000517.png,74
000518.png,79
000519.png,79
000520.png,79
000521.png,18
000522.png,79
000523.png,76
000524.png,84
000525.png,79
000526.png,44
000527.png,44
000528.png,84
000529.png,24
000530.png,22
000531.png,28
000532.png,103
000533.png,50
000534.png,72
000535.png,79
000536.png,50
000537.png,79
000538.png,79
000539.png,55
000540.png,79
000541.png,77
000542.png,79
000543.png,72
000544.png,94
000545.png,99
000546.png,24
000547.png,18
000548.png,94
000549.png,80
000550.png,79
000551.png,75
000552.png,24
000553.png,57
000554.png,77
000555.png,101
000556.png,31
000557.png,72
000558.png,40
000559.png,79
000560.png,79
000561.png,42
000562.png,42
000563.png,13
000564.png,24
000565.png,77
000566.png,72
000567.png,19
000568.png,79
000569.png,79
000570.png,24
000571.png,75
000572.png,24
000573.png,40
000574.png,9
000575.png,79
000576.png,25
000577.png,17
000578.png,79
000579.png,70
000580.png,63
000581.png,79
000582.png,79
000583.png,44
000584.png,65
000585.png,101
000586.png,62
000587.png,74
000588.png,79
000589.png,24
000590.png,71
000591.png,44
000592.png,44
000593.png,79
000594.png,79
000595.png,104
000596.png,57
000597.png,77
000598.png,79
000599.png,2
000600.png,79
000601.png,18
000602.png,79
000603.png,79
000604.png,79
000605.png,42
000606.png,72
000607.png,27
000608.png,24
000609.png,73
000610.png,67
000611.png,29
000612.png,57
